"","franchID","yearID","W","WAR","source"
"426","PIT",1897,60,16.3,"Baseball Reference"
"427","SFG",1897,83,NA,"Baseball Reference"
"428","STL",1897,29,-1.8,"Baseball Reference"
"429","WAS",1897,61,NA,"Baseball Reference"
"430","ATL",1898,102,NA,"Baseball Reference"
"431","BLO",1898,96,NA,"Baseball Reference"
"432","CHC",1898,85,41.1,"Baseball Reference"
"433","CIN",1898,92,37.4,"Baseball Reference"
"434","CLV",1898,81,36.8,"Baseball Reference"
"435","LAD",1898,54,NA,"Baseball Reference"
"436","LOU",1898,70,21.2,"Baseball Reference"
"437","PHI",1898,78,32.2,"Baseball Reference"
"438","PIT",1898,72,30.2,"Baseball Reference"
"439","SFG",1898,77,NA,"Baseball Reference"
"440","STL",1898,39,6.3,"Baseball Reference"
"441","WAS",1898,51,NA,"Baseball Reference"
"442","ATL",1899,95,NA,"Baseball Reference"
"443","BLO",1899,86,NA,"Baseball Reference"
"444","CHC",1899,75,31.6,"Baseball Reference"
"445","CIN",1899,83,36.3,"Baseball Reference"
"446","CLV",1899,20,-20.2,"Baseball Reference"
"447","LAD",1899,101,NA,"Baseball Reference"
"448","LOU",1899,75,33.8,"Baseball Reference"
"449","PHI",1899,94,43,"Baseball Reference"
"450","PIT",1899,76,38.2,"Baseball Reference"
"451","SFG",1899,60,NA,"Baseball Reference"
"452","STL",1899,84,41.2,"Baseball Reference"
"453","WAS",1899,54,NA,"Baseball Reference"
"454","ATL",1900,66,NA,"Baseball Reference"
"455","CHC",1900,65,23.8,"Baseball Reference"
"456","CIN",1900,62,24.5,"Baseball Reference"
"457","LAD",1900,82,NA,"Baseball Reference"
"458","PHI",1900,75,28.1,"Baseball Reference"
"459","PIT",1900,79,35.3,"Baseball Reference"
"460","SFG",1900,60,NA,"Baseball Reference"
"461","STL",1900,65,31.6,"Baseball Reference"
"462","ATL",1901,69,NA,"Baseball Reference"
"463","BAL",1901,48,NA,"Baseball Reference"
"464","BOS",1901,79,41.6,"Baseball Reference"
"465","CHC",1901,53,16.5,"Baseball Reference"
"466","CHW",1901,83,42.1,"Baseball Reference"
"467","CIN",1901,52,11.1,"Baseball Reference"
"468","CLE",1901,54,14.4,"Baseball Reference"
"469","DET",1901,74,32.8,"Baseball Reference"
"470","LAD",1901,79,NA,"Baseball Reference"
"471","MIN",1901,61,NA,"Baseball Reference"
"472","MLA",1901,NA,16.8,"Baseball Reference"
"473","NYY",1901,68,NA,"Baseball Reference"
"474","OAK",1901,74,NA,"Baseball Reference"
"475","PHA",1901,NA,28.3,"Baseball Reference"
"476","PHI",1901,83,40.2,"Baseball Reference"
"477","PIT",1901,90,43.5,"Baseball Reference"
"478","SFG",1901,52,NA,"Baseball Reference"
"479","STL",1901,76,32.7,"Baseball Reference"
"480","ATL",1902,73,NA,"Baseball Reference"
"481","BAL",1902,78,NA,"Baseball Reference"
"482","BOS",1902,77,34.7,"Baseball Reference"
"483","CHC",1902,68,34.4,"Baseball Reference"
"484","CHW",1902,74,30.4,"Baseball Reference"
"485","CIN",1902,70,36.3,"Baseball Reference"
"486","CLE",1902,69,31.8,"Baseball Reference"
"487","DET",1902,52,19.2,"Baseball Reference"
"488","LAD",1902,75,NA,"Baseball Reference"
"489","MIN",1902,61,NA,"Baseball Reference"
"490","NYY",1902,50,NA,"Baseball Reference"
"491","OAK",1902,83,NA,"Baseball Reference"
"492","PHA",1902,NA,34.9,"Baseball Reference"
"493","PHI",1902,56,12.1,"Baseball Reference"
"494","PIT",1902,103,54.5,"Baseball Reference"
"495","SFG",1902,48,NA,"Baseball Reference"
"496","STL",1902,56,11.5,"Baseball Reference"
"497","ATL",1903,58,NA,"Baseball Reference"
"498","BAL",1903,65,NA,"Baseball Reference"
"499","BOS",1903,91,45.1,"Baseball Reference"
"500","CHC",1903,82,34.3,"Baseball Reference"
"501","CHW",1903,60,22.5,"Baseball Reference"
"502","CIN",1903,74,34.9,"Baseball Reference"
"503","CLE",1903,77,35.5,"Baseball Reference"
"504","DET",1903,65,36.3,"Baseball Reference"
"505","LAD",1903,70,NA,"Baseball Reference"
"506","MIN",1903,43,NA,"Baseball Reference"
"507","NYY",1903,72,26.7,"Baseball Reference"
"508","OAK",1903,75,NA,"Baseball Reference"
"509","PHA",1903,NA,38,"Baseball Reference"
"510","PHI",1903,49,16,"Baseball Reference"
"511","PIT",1903,91,37.6,"Baseball Reference"
"512","SFG",1903,84,NA,"Baseball Reference"
"513","STL",1903,43,4.8,"Baseball Reference"
"514","ATL",1904,55,NA,"Baseball Reference"
"515","BAL",1904,65,NA,"Baseball Reference"
"516","BOS",1904,95,47.9,"Baseball Reference"
"517","CHC",1904,93,34.8,"Baseball Reference"
"518","CHW",1904,89,42.2,"Baseball Reference"
"519","CIN",1904,88,39.1,"Baseball Reference"
"520","CLE",1904,86,47.6,"Baseball Reference"
"521","DET",1904,62,21.2,"Baseball Reference"
"522","LAD",1904,56,NA,"Baseball Reference"
"523","MIN",1904,38,NA,"Baseball Reference"
"524","NYY",1904,92,44.5,"Baseball Reference"
"525","OAK",1904,81,NA,"Baseball Reference"
"526","PHA",1904,NA,41,"Baseball Reference"
"527","PHI",1904,52,7.3,"Baseball Reference"
"528","PIT",1904,87,32.6,"Baseball Reference"
"529","SFG",1904,106,NA,"Baseball Reference"
"530","STL",1904,75,34.1,"Baseball Reference"
"531","ATL",1905,51,NA,"Baseball Reference"
"532","BAL",1905,54,NA,"Baseball Reference"
"533","BOS",1905,78,35.8,"Baseball Reference"
"534","CHC",1905,92,46.1,"Baseball Reference"
"535","CHW",1905,92,50.2,"Baseball Reference"
"536","CIN",1905,79,27.5,"Baseball Reference"
"537","CLE",1905,76,32.9,"Baseball Reference"
"538","DET",1905,79,30.7,"Baseball Reference"
"539","LAD",1905,48,NA,"Baseball Reference"
"540","MIN",1905,64,NA,"Baseball Reference"
"541","NYY",1905,71,30.5,"Baseball Reference"
