"","franchID","yearID","WARP","W"
"543","CHA",1928,0,NA
"544","CHA",1929,0,NA
"545","CHA",1930,0,NA
"546","CHA",1931,0,NA
"547","CHA",1932,0,NA
"548","CHA",1933,0,NA
"549","CHA",1934,0,NA
"550","CHA",1935,0,NA
"551","CHA",1936,0,NA
"552","CHA",1937,0,NA
"553","CHA",1938,0,NA
"554","CHA",1939,0,NA
"555","CHA",1940,0,NA
"556","CHA",1941,0,NA
"557","CHA",1942,0,NA
"558","CHA",1943,0,NA
"559","CHA",1944,0,NA
"560","CHA",1945,0,NA
"561","CHA",1946,0,NA
"562","CHA",1947,0,NA
"563","CHA",1948,0,NA
"564","CHA",1949,15.81,NA
"565","CHA",1950,8.98,NA
"566","CHA",1951,44.53,NA
"567","CHA",1952,52.58,NA
"568","CHA",1953,58.52,NA
"569","CHA",1954,53.55,NA
"570","CHA",1955,61.71,NA
"571","CHA",1956,51.67,NA
"572","CHA",1957,49.92,NA
"573","CHA",1958,45.44,NA
"574","CHA",1959,48.69,NA
"575","CHA",1960,40.97,NA
"576","CHA",1961,34.83,NA
"577","CHA",1962,38.04,NA
"578","CHA",1963,42.65,NA
"579","CHA",1964,56.37,NA
"580","CHA",1965,33.83,NA
"581","CHA",1966,31.51,NA
"582","CHA",1967,15.02,NA
"583","CHA",1968,1.45,NA
"584","CHA",1969,33.99,NA
"585","CHA",1970,27.4,NA
"586","CHA",1971,49.85,NA
"587","CHA",1972,34.73,NA
"588","CHA",1973,25.18,NA
"589","CHA",1974,28.72,NA
"590","CHA",1975,16.38,NA
"591","CHA",1976,17.04,NA
"592","CHA",1977,30.07,NA
"593","CHA",1978,22.09,NA
"594","CHA",1979,32.61,NA
"595","CHA",1980,19.28,NA
"596","CHA",1981,27.24,NA
"597","CHA",1982,40.04,NA
"598","CHA",1983,52.82,NA
"599","CHA",1984,37.96,NA
"600","CHA",1985,35.84,NA
"601","CHA",1986,32.3,NA
"602","CHA",1987,42.8,NA
"603","CHA",1988,19.12,NA
"604","CHA",1989,18.83,NA
"605","CHA",1990,33.46,NA
"606","CHA",1991,32.66,NA
"607","CHA",1992,29.53,NA
"608","CHA",1993,37.82,NA
"609","CHA",1994,31.89,NA
"610","CHA",1995,23.88,NA
"611","CHA",1996,40.3,NA
"612","CHA",1997,16.59,NA
"613","CHA",1998,20.8,NA
"614","CHA",1999,19.31,NA
"615","CHA",2000,42.5,NA
"616","CHA",2001,27.05,NA
"617","CHA",2002,31.49,NA
"618","CHA",2003,38.09,NA
"619","CHA",2004,31.12,NA
"620","CHA",2005,37.38,NA
"621","CHA",2006,32.88,NA
"622","CHA",2007,19.78,NA
"623","CHA",2008,38.29,NA
"624","CHA",2009,26.89,NA
"625","CHA",2010,31.72,NA
"626","CHA",2011,20.98,NA
"627","CHA",2012,31.49,NA
"628","CHA",2013,15.38,NA
"629","CHA",2014,21.38,NA
"630","CHA",2015,23.71,NA
"631","CHA",2016,26.32,NA
"632","CHA",2017,9.13,NA
"633","CHF",1914,0,NA
"634","CHF",1915,0,NA
"635","CHN",1876,0,NA
"636","CHN",1877,0,NA
"637","CHN",1878,0,NA
"638","CHN",1879,0,NA
"639","CHN",1880,0,NA
"640","CHN",1881,0,NA
"641","CHN",1882,0,NA
"642","CHN",1883,0,NA
"643","CHN",1884,0,NA
"644","CHN",1885,0,NA
"645","CHN",1886,0,NA
"646","CHN",1887,0,NA
"647","CHN",1888,0,NA
"648","CHN",1889,0,NA
"649","CHN",1890,0,NA
"650","CHN",1891,0,NA
"651","CHN",1892,0,NA
"652","CHN",1893,0,NA
"653","CHN",1894,0,NA
"654","CHN",1895,0,NA
"655","CHN",1896,0,NA
"656","CHN",1897,0,NA
"657","CHN",1898,0,NA
"658","CHN",1899,0,NA
"659","CHN",1900,0,NA
"660","CHN",1901,0,NA
"661","CHN",1902,0,NA
"662","CHN",1903,0,NA
"663","CHN",1904,0,NA
"664","CHN",1905,0,NA
"665","CHN",1906,0,NA
"666","CHN",1907,0,NA
"667","CHN",1908,0,NA
"668","CHN",1909,0,NA
